On offshore,Province name,Municipality name,longitude,latitude,Type,Status,Result,Current owner,Operator,oil or gas?,Year,within_zone,within_1km,outside,only_1km
ON,Zuid-Holland,Wassenaar,4.362291973131852,52.10357459454999,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1958,False,True,False,True
ON,Zuid-Holland,Wassenaar,4.362291973131852,52.10357459454999,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1983,False,True,False,True
ON,Zuid-Holland,Wassenaar,4.356404791224524,52.10630972782541,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1959,False,True,False,True
ON,Zuid-Holland,Wassenaar,4.356360589641729,52.106327317907066,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1959,False,True,False,True
ON,Zuid-Holland,Wassenaar,4.362949247576123,52.109288092196735,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1988,False,True,False,True
ON,Zuid-Holland,Wassenaar,4.362993649418507,52.10926151183293,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,False,True,False,True
ON,Zuid-Holland,Wassenaar,4.362919646347865,52.10930581243925,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,False,True,False,True
ON,Zuid-Holland,Wassenaar,4.3628752345052355,52.10933239280294,Development hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,False,True,False,True
ON,Zuid-Holland,Wassenaar,4.3508144904788075,52.11950096484384,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1964,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.3508574505043045,52.11953729645377,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1964,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.3509004205300466,52.11957362806385,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1966,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.350951410933994,52.11960355955756,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1966,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.354481191347464,52.11311526230746,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1967,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.354481191347464,52.11311526230746,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1985,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.362319301506985,52.10365572740743,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1967,False,True,False,True
ON,Zuid-Holland,Wassenaar,4.350756930098556,52.11946450307309,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1975,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.351001151195638,52.1196374311625,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1975,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.351044111221133,52.119673762772415,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1976,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.351136463502708,52.11790812793692,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1976,True,True,False,False
ON,Drenthe,De Wolden,6.288318153712421,52.73328123070255,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1978,True,True,False,False
ON,Drenthe,De Wolden,6.303543121808372,52.73088233123163,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1978,True,True,False,False
ON,Drenthe,De Wolden,6.287925217507357,52.7331442721652,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1984,True,True,False,False
ON,Drenthe,De Wolden,6.2877061652798645,52.733378347486806,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1989,True,True,False,False
ON,Drenthe,Tynaarlo,6.708226085211691,53.079601574688944,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1976,True,True,False,False
ON,Drenthe,Aa en Hunze,6.750188968481545,53.085838624346245,Appraisal hydrocarbon,Suspended,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1975,True,True,False,False
ON,Drenthe,Aa en Hunze,6.750661416777532,53.08527839082432,Development hydrocarbon,Suspended,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1975,True,True,False,False
ON,Drenthe,Aa en Hunze,6.749730010680281,53.08499349181585,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1975,True,True,False,False
ON,Drenthe,Aa en Hunze,6.750202588991527,53.08443280828095,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1975,True,True,False,False
ON,Drenthe,Aa en Hunze,6.751116964111988,53.08473639772705,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1986,True,True,False,False
ON,Drenthe,Aa en Hunze,6.74924933191582,53.08556263554516,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1988,True,True,False,False
