On offshore,Province name,Municipality name,longitude,latitude,Type,Status,Result,Current owner,Operator,oil or gas?,Year,within_zone,within_1km,outside,only_1km
ON,Zuid-Holland,Rotterdam,4.563250533879859,51.882881698516556,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1977,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.55281691196611,51.887059698606286,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.55281691196611,51.887059698606286,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1964,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.55281691196611,51.887059698606286,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1974,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.55281691196611,51.887059698606286,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1984,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.55281691196611,51.887059698606286,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1990,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.554913598911435,51.88757793723974,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1962,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.554913598911435,51.88757793723974,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1967,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.539795605388808,51.89200015504961,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1962,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.539795605388808,51.89200015504961,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1987,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.556990386700173,51.88445558125786,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1962,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.5570923796794105,51.88443832180257,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1962,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.5570923796794105,51.88443832180257,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1968,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.5570923796794105,51.88443832180257,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1970,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.563220331395208,51.882944400164924,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1962,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.563220331395208,51.882944400164924,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1967,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.563205150025705,51.88298025112966,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1968,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.563205150025705,51.88298025112966,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1986,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.554897307824983,51.887602627842014,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1977,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.547215299554639,51.88832312859842,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1977,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.551792542020029,51.88902992960243,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1980,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.551792542020029,51.88902992960243,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1981,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.54354645128522,51.89185637052191,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1981,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.543548304083876,51.89175750743462,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1981,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.543447462885252,51.89171183492413,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1987,False,True,False,True
ON,Noord-Brabant,Veghel,5.598144148249472,51.581447581853915,Exploration hydrocarbon,Plugged and abandoned,Oil shows,Clyde Petroleum Exploratie B.V.,Clyde Petroleum Exploratie B.V.,Y,1992,False,True,False,True
ON,Zuid-Holland,Nederlek,4.660611490672872,51.9070115738365,Exploration hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1959,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.3447337097736805,52.129784264758406,Exploration hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1958,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.344939616561553,52.129723165036765,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.344865974007218,52.129749485078506,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1962,True,True,False,False
ON,Zuid-Holland,Wassenaar,4.344807142067993,52.12976693499875,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1962,True,True,False,False
ON,Zuid-Holland,Westland,4.1862270017560235,52.03283203053494,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1990,False,True,False,True
ON,Drenthe,Noordenveld,6.403481010113353,53.111172442943044,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1990,True,True,False,False
ON,Drenthe,Noordenveld,6.4030671040679294,53.111010153293826,Exploration hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,2003,True,True,False,False
ON,Drenthe,Noordenveld,6.382606230016633,53.14164802643967,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1995,True,True,False,False
ON,Drenthe,Coevorden,6.765840607870513,52.74903201857957,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1996,False,True,False,True
ON,Drenthe,Coevorden,6.765221238542871,52.74915108607232,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1997,False,True,False,True
ON,Friesland,Ooststellingwerf,6.281214272731457,52.93171569924033,Exploration hydrocarbon,Plugged and abandoned,Gas,Elf Petroland B.V.,Elf Petroland B.V.,Y,1993,False,True,False,True
ON,Overijssel,Dinkelland,7.026090247304482,52.39523536258073,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1955,False,True,False,True
ON,Zuid-Holland,Ridderkerk,4.582012544770841,51.88715560272377,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1956,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.570330978973527,51.885699672513844,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1957,True,True,False,False
ON,Zuid-Holland,Ridderkerk,4.58194237457947,51.88458436116879,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1957,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.569839006538103,51.88319738863928,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1957,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.569839006538103,51.88319738863928,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1967,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.569839006538103,51.88319738863928,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1980,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.564071673277214,51.88722000359382,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1958,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.565489750303341,51.88354457320649,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1959,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.565489750303341,51.88354457320649,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1985,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.565461851376025,51.88348145092576,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1959,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.565461851376025,51.88348145092576,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1976,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.565461851376025,51.88348145092576,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1985,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.565503289131988,51.88359859504827,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1959,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.5655313483133675,51.883652727048265,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1959,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.5655313483133675,51.883652727048265,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1966,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.5655313483133675,51.883652727048265,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1985,True,True,False,False
ON,Zuid-Holland,Ridderkerk,4.581045137772481,51.8815217853708,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1959,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.56985271562094,51.8832424302007,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.56985271562094,51.8832424302007,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1977,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.56985271562094,51.8832424302007,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1986,True,True,False,False
ON,Zuid-Holland,Ridderkerk,4.5878975293362805,51.88570654986963,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.569866584957824,51.883278481481355,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.569866584957824,51.883278481481355,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1967,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.569866584957824,51.883278481481355,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1984,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.5704037609931,51.88569119302289,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.5704037609931,51.88569119302289,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1981,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.5704037609931,51.88569119302289,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1985,True,True,False,False
ON,Zuid-Holland,Ridderkerk,4.574193304965095,51.88169755790211,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1962,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.56988013378689,51.883332503323246,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1962,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.56988013378689,51.883332503323246,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1980,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.56988013378689,51.883332503323246,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1980,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.569824976947173,51.883170327639476,Development hydrocarbon,Suspended,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1962,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.570287247660311,51.88570835232064,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1962,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.569908363222757,51.883377645042515,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1969,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.569908363222757,51.883377645042515,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1985,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.56981126786433,51.88312528607805,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1979,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.56981126786433,51.88312528607805,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1985,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.569797568781449,51.88308025451707,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1979,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.565545057396325,51.883697758609365,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1979,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.565558756478757,51.88374280017071,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1979,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.564072494547807,51.88717507219051,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1979,True,True,False,False
ON,Zuid-Holland,Ridderkerk,4.574208184021755,51.88174457953815,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1981,True,True,False,False
ON,Zuid-Holland,Ridderkerk,4.574208184021755,51.88174457953815,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1987,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.569648579407833,51.883285949393155,Development hydrocarbon,Suspended,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1987,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.56637648310976,51.88350582143748,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1987,True,True,False,False
ON,Drenthe,Noordenveld,6.449590691145651,53.13629598947454,Exploration hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1970,True,True,False,False
ON,Drenthe,Noordenveld,6.449590691145651,53.13629598947454,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1988,True,True,False,False
ON,Drenthe,Noordenveld,6.449590691145651,53.13629598947454,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1988,True,True,False,False
