On offshore,Province name,Municipality name,longitude,latitude,Start,Type,Status,Result,Current owner,Operator,oil or gas?
ON,Gelderland,Lingewaard,5.91054301,51.92946406,03-01-1944,Exploration hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,Erdöl Niederlande,Y
ON,Friesland,Smallingerland,5.98547132,53.12306506,11-05-1965,Exploration hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,American Overseas Petroleum Limited,Y
ON,Friesland,Boarnsterhim,5.82356723,53.07659822,09-08-1965,Appraisal hydrocarbon,Plugged and abandoned,Gas and oil shows,Chevron International Oil Company B.V.,American Overseas Petroleum Limited,Y
ON,Friesland,Smallingerland,6.02399117,53.09540277,29-08-1965,Exploration,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,American Overseas Petroleum Limited,Y
ON,Friesland,Smallingerland,5.91244849,53.08282967,06-12-1965,Appraisal hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,American Overseas Petroleum Limited,Y
ON,Friesland,Opsterland,6.11604687,53.05739206,18-12-1968,Exploration hydrocarbon,Plugged and abandoned,Gas and oil shows,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,6.00679729,53.12016842,19-05-1976,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,6.03126264,53.11572705,28-07-1977,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron International Oil Company B.V.,Y
ON,Friesland,Smallingerland,5.98565964,53.12421996,09-06-1977,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,5.99180942,53.09138069,20-11-1979,Exploration hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,6.03113355,53.11589497,24-05-1978,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron International Oil Company B.V.,Y
ON,Friesland,Opsterland,6.16610061,53.0233659,10-08-1978,Exploration hydrocarbon,Plugged and abandoned,Gas,Chevron Oil Company of the Netherlands,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,6.02420067,53.09506118,26-10-1978,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Opsterland,5.93792433,53.06722596,12-01-1980,Exploration hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,5.99323824,53.1188907,20-06-1981,Development hydrocarbon,Plugged and abandoned,Gas,Vermilion Energy Netherlands B.V.,Chevron Oil Company of the Netherlands B.V.,Y
ON,Friesland,Smallingerland,5.99340111,53.11922666,13-09-1981,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Boarnsterhim,5.82802314,53.0970589,07-05-1991,Appraisal hydrocarbon,Plugged and abandoned,Gas shows,Chevron Nederland B.V.,Chevron Nederland B.V.,Y
ON,Zuid-Holland,Alblasserdam,4.6759608,51.8719401,17-07-1957,Exploration hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Holland,Alkmaar,4.74500128,52.60381371,10-04-1975,Exploration hydrocarbon,Closed-In,Gas,TAQA Piek Gas B.V.,Amoco Netherlands Petroleum Company,Y
ON,Groningen,Leek,6.31298899,53.10011168,22-08-1984,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Ameland,5.96015984,53.46680909,24-04-1964,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Mobil Producing Netherlands Inc.,Y
ON,,,5.89844114,53.48696958,18-12-1973,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Ameland,5.92227871,53.46581331,25-11-1982,Appraisal hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Ameland,5.92183231,53.46585141,07-10-1984,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Ameland,5.92258073,53.46578852,30-11-1984,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,,,5.86816667,53.4843333,17-06-1978,Appraisal hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,,,5.8682227,53.4841991,11-08-1983,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,,,5.86825285,53.48425468,21-05-1991,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,,,5.86825285,53.48425468,16-05-1995,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,,,5.86825285,53.48425468,09-10-1996,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Ameland,5.7441293,53.45820856,07-10-1963,Exploration hydrocarbon,Plugged and abandoned,Gas and oil shows,American Ovearseas Petroleum Limited,American Ovearseas Petroleum Limited,Y
ON,,,5.94162335,53.52165098,09-01-1965,Exploration hydrocarbon,Plugged and abandoned,Gas,Mobil Producing Netherlands Inc.,Mobil Producing Netherlands Inc.,Y
ON,,,5.92554996,53.52367915,29-07-1981,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Overijssel,Almelo,6.64628249,52.35996755,22-08-1954,Exploration hydrocarbon,Plugged and abandoned,Oil shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Overijssel,Almelo,6.71748878,52.3642831,18-01-1956,Exploration hydrocarbon,Plugged and abandoned,Gas and oil shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.90634944,53.301559,28-03-1972,Appraisal hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.91055262,53.3009391,17-05-1973,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.90950231,53.3009366,26-01-1973,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.90845261,53.30093407,25-02-1973,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.90740275,53.30093145,16-04-1973,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.90635289,53.30092891,06-05-1973,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.90530303,53.30092619,09-06-1973,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.90739901,53.30156154,13-01-1973,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.90844858,53.30156416,13-02-1973,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.909498,53.30156669,17-03-1973,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.91054758,53.30156921,15-04-1973,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.90529982,53.3015551,26-07-1987,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Aa en Hunze,6.78867464,53.08620062,04-11-1961,Exploration hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Brabant,Woudrichem,5.05151828,51.77750406,31-03-1949,Exploration hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Brabant,Aalburg,5.07561638,51.76389054,08-01-1953,Exploration hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Brabant,Aalburg,5.07504299,51.76385765,11-05-1953,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Brabant,Aalburg,5.07504299,51.76385765,02-04-1955,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Brabant,Woudrichem,5.05957031,51.76860515,05-06-1953,Development hydrocarbon,Plugged and abandoned,Oil shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Brabant,Woudrichem,5.07870221,51.76884293,10-06-1953,Development hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Brabant,Aalburg,5.07554196,51.76388621,07-02-1991,Exploration hydrocarbon,Suspended,Gas,Vermilion Energy Netherlands B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Brabant,Aalburg,5.07554196,51.76388621,09-09-2016,Development hydrocarbon,Suspended,Gas,Vermilion Energy Netherlands B.V.,Vermilion Energy Netherlands B.V.,Y
ON,Friesland,Dongeradeel,6.15069501,53.37187005,10-10-1992,Exploration hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Dongeradeel,6.15024646,53.37189014,21-09-1994,Exploration hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Dongeradeel,6.15049053,53.37236689,06-05-1998,Exploration hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Dongeradeel,6.15054397,53.37139616,25-02-1997,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Dongeradeel,6.15053244,53.37261451,18-01-2003,Development hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Dongeradeel,6.15051707,53.37288335,16-12-2013,Exploration hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Aa en Hunze,6.69299192,53.03284789,23-10-1964,Exploration hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Aa en Hunze,6.78524001,53.08792661,21-11-1972,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Aa en Hunze,6.78439198,53.08770303,30-01-1973,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Aa en Hunze,6.78343543,53.08745105,06-04-1973,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Aa en Hunze,6.78385199,53.08687463,09-06-1973,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Aa en Hunze,6.78477976,53.08711813,12-05-1984,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Aa en Hunze,6.7856591,53.08735015,12-03-1985,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Tynaarlo,6.718581,53.07416391,15-08-1970,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Veendam,6.91732046,53.08977699,23-01-1969,Exploration hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Veendam,6.91708473,53.08954787,10-12-1982,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Veendam,6.88155418,53.08033551,10-04-1983,Appraisal hydrocarbon,Suspended,Gas shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Veendam,6.91738146,53.08992369,08-03-2013,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Ooststellingwerf,6.41787586,52.9662679,30-11-1970,Exploration hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Ooststellingwerf,6.41799085,52.96638557,15-11-1997,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Ooststellingwerf,6.41799085,52.96638557,21-12-1997,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Alphen aan den Rijn,4.74142772,52.1624104,22-11-1975,Exploration hydrocarbon,Plugged and abandoned,Oil shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,,,5.93298708,53.50033994,28-07-1975,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,,,5.94179119,53.49273028,07-06-1984,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,,,5.94171429,53.49272524,06-12-1984,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,,,5.94174156,53.49273679,02-08-2004,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,het Bildt,5.67214922,53.31686364,24-07-1964,Exploration hydrocarbon,Plugged and abandoned,Gas shows,American Overseas Petroleum Ltd.,American Overseas Petroleum Ltd.,Y
ON,Drenthe,Midden-Drenthe,6.51810897,52.80723235,02-06-1951,Exploration hydrocarbon,Plugged and abandoned,Gas and oil shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Holland,Bergen,4.66749317,52.65966445,28-04-1965,Exploration hydrocarbon,Plugged and abandoned,Gas,Amoco Netherlands Petroleum Company,Amoco Netherlands Petroleum Company,Y
ON,Noord-Holland,Bergen,4.63409697,52.66706065,01-01-1976,Appraisal hydrocarbon,Closed-In,Gas,TAQA Offshore B.V.,Amoco Netherlands Petroleum Company,Y
ON,Noord-Holland,Bergen,4.7186619,52.65143444,26-04-1970,Appraisal hydrocarbon,Plugged and abandoned,Gas,Taqa Energy B.V.,Amoco Netherlands Petroleum Company,Y
ON,Noord-Holland,Bergen,4.71724655,52.65140553,19-05-1972,Development hydrocarbon,Plugged and abandoned,Gas,Taqa Energy B.V.,Amoco Netherlands Petroleum Company,Y
ON,Noord-Holland,Bergen,4.71663854,52.65106221,07-07-1972,Appraisal hydrocarbon,Closed-In,Gas,TAQA Onshore B.V.,Amoco Netherlands Petroleum Company,Y
ON,Noord-Holland,Bergen,4.7167893,52.65114754,06-02-1980,Appraisal hydrocarbon,Plugged and abandoned,Gas,Taqa Energy B.V.,Amoco Netherlands Petroleum Company,Y
ON,Noord-Holland,Bergen,4.71709552,52.65131921,28-08-1990,Development hydrocarbon,Suspended,Gas,TAQA Onshore B.V.,Amoco Netherlands Petroleum Comapny,Y
ON,,,3.77168392,51.79005597,02-04-1978,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Bellingwedde,7.07778942,53.09471326,18-11-1971,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Bellingwedde,7.05686418,53.09643816,08-01-1979,Appraisal hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Bellingwedde,7.05659268,53.09622319,05-02-1980,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Bellingwedde,7.0562352,53.09638519,28-04-1984,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Bellingwedde,7.05654727,53.0961877,17-03-2002,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Bellingwedde,7.05643596,53.09613524,21-08-2013,Development hydrocarbon,Suspended,Gas shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88652679,53.37322132,13-07-1963,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88723196,53.37500132,02-02-1975,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88745106,53.37438968,05-03-1975,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88767021,53.37377535,07-04-1975,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.8878895,53.37316093,02-05-1975,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88810879,53.3725466,15-06-1975,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88707881,53.37241404,12-07-1975,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88685952,53.37302892,02-09-1975,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88664023,53.37364388,06-10-1975,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88642148,53.37425703,23-06-1975,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.8862019,53.37487253,26-07-1975,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88598204,53.37548912,29-08-1975,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88701244,53.37561844,01-01-1989,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Delfzijl,6.88701244,53.37561844,15-01-1989,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Holland,Alkmaar,4.74504395,52.60381277,14-03-1975,Exploration hydrocarbon,Suspended,Gas shows,TAQA Piek Gas B.V.,Amoco Netherlands Petroleum Company,Y
ON,Noord-Holland,Alkmaar,4.74504395,52.60381277,01-04-2006,Exploration hydrocarbon,Closed-In,Gas,TAQA Piek Gas B.V.,BP Nederland Energie B.V.,Y
ON,Noord-Brabant,Oisterwijk,5.19642281,51.52170859,23-01-1989,Exploration hydrocarbon,Plugged and abandoned,Oil shows,Wintershall Noordzee B.V.,British Petroleum Exploratie Maatschappij Nederland B.V.,Y
ON,Noord-Holland,Blaricum,5.28004615,52.28517515,07-08-1982,Exploration hydrocarbon,Plugged and abandoned,Gas shows,Petroland B.V.,Petroland B.V.,Y
ON,Friesland,Weststellingwerf,5.99619032,52.85529532,19-03-2021,Appraisal hydrocarbon,Closed-In,Gas,Vermilion Energy Netherlands B.V.,Vermilion Energy Netherlands B.V.,Y
ON,Friesland,Ferweradiel,5.85055441,53.3616768,03-03-1963,Exploration hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Ferweradiel,5.85044263,53.36161811,02-12-1978,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Ferweradiel,5.8512177,53.36203976,30-05-1984,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Wymbritseradiel,5.51893048,53.02308537,18-05-1985,Exploration hydrocarbon,Plugged and abandoned,Gas shows,Amoco Netherlands Petroleum Company,Amoco Netherlands Petroleum Company,Y
ON,Friesland,Weststellingwerf,6.05199519,52.83997347,15-11-1987,Exploration hydrocarbon,Closed-In,Gas,Vermilion Energy Netherlands B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Littenseradiel,5.71514483,53.09914695,06-01-1982,Exploration hydrocarbon,Closed-In,Gas,Vermilion Energy Netherlands B.V.,Elf Petroland B.V.,Y
ON,Groningen,Leek,6.35679748,53.19381375,10-10-1984,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Leek,6.3568182,53.19374314,19-08-2002,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Gelderland,Zaltbommel,5.05277829,51.80076424,18-05-1992,Exploration hydrocarbon,Closed-In,Oil and gas,Vermilion Energy Netherlands B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Lansingerland,4.45197966,51.96698707,10-09-1951,Exploration hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Rotterdam,4.46758885,51.9650076,18-03-1953,Appraisal hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Rotterdam,4.45694053,51.96584381,11-10-1955,Development hydrocarbon,Plugged and abandoned,Oil with gas shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Rotterdam,4.4624598,51.95343639,06-02-1977,Appraisal hydrocarbon,Suspended,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Rotterdam,4.4624598,51.95343639,20-08-1995,Development hydrocarbon,Suspended,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Rotterdam,4.46248396,51.9533937,13-12-1978,Appraisal hydrocarbon,Suspended,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Rotterdam,4.46248396,51.9533937,04-02-1993,Development hydrocarbon,Suspended,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Rotterdam,4.46253446,51.9533079,25-05-1980,Appraisal hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Rotterdam,4.46258318,51.95322361,06-10-1980,Development hydrocarbon,Suspended,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Rotterdam,4.46241034,51.95352121,27-04-1981,Appraisal hydrocarbon,Suspended,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Rotterdam,4.46238548,51.9535629,16-07-1981,Appraisal hydrocarbon,Suspended,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Rotterdam,4.4627438,51.95424686,01-08-1984,Development hydrocarbon,Suspended,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
