On offshore,Province name,Municipality name,longitude,latitude,Start,Type,Status,Result,Current owner,Operator,oil or gas?
ON,Overijssel,Tubbergen,6.89200595,52.43862873,30-03-1976,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Overijssel,Tubbergen,6.78296614,52.42633458,08-12-1967,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Overijssel,Tubbergen,6.77638045,52.43859334,09-12-1972,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Overijssel,Tubbergen,6.77616402,52.43845926,01-11-1978,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Overijssel,Tubbergen,6.77616402,52.43845926,12-07-1998,Development hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.87168828,53.15532589,11-02-1965,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.87273296,53.15536345,16-01-1966,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.87377764,53.15540101,20-02-1966,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.87279556,53.1547345,15-04-1966,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.8717521,53.1546971,07-05-1966,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.87488442,53.15480925,18-08-1970,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.87384006,53.15477188,08-09-1970,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.87586686,53.15547645,03-10-1972,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.87592953,53.1548466,04-07-1974,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Midden-Drenthe,6.56425851,52.74806076,12-08-2009,Exploration hydrocarbon,Suspended,Gas,Vermilion Energy Netherlands B.V.,Northern Petroleum Ned. B.V.,Y
ON,Groningen,Eemsmond,6.80812548,53.44969887,05-07-1965,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Eemsmond,6.80805075,53.44981495,27-11-2001,Exploration hydrocarbon,Suspended,Gas shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Opsterland,6.20129861,53.109605,12-06-1950,Exploration hydrocarbon,Plugged and abandoned,Oil shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Opsterland,6.16782,53.11907703,29-01-1966,Exploration hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Opsterland,6.16737733,53.11912125,08-11-1977,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Eemsmond,6.62259256,53.42565971,20-04-1968,Exploration hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.88664496,53.1748537,18-12-1965,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.88664496,53.1748537,14-11-1993,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.88769198,53.1748628,24-09-1966,Exploration hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.88873885,53.17487198,09-11-1966,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.88978572,53.17488107,27-11-1966,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.8897999,53.1742511,17-12-1966,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.88875472,53.17424289,07-01-1967,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.88770847,53.17423388,21-05-1970,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.88666087,53.17422479,04-08-1971,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.8908425,53.17425807,13-09-1974,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Menterwolde,6.89187838,53.17489814,26-06-1978,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,De Marne,6.28264243,53.36727403,24-05-1995,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,De Marne,6.28256724,53.36727027,20-05-1996,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Vlagtwedde,7.0989547,52.96952182,09-05-1977,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Vlagtwedde,7.0989547,52.96952182,12-09-1988,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Assen,6.59499871,53.03747725,10-06-1997,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Assen,6.59499871,53.03747725,15-07-2006,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Assen,6.59438278,53.03750818,18-01-2012,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Assen,6.59562375,53.03750068,07-11-2015,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Assen,6.59455702,53.03741529,17-07-1968,Exploration hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Tynaarlo,6.56082147,53.07887737,25-10-1990,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Assen,6.59783648,53.01244075,24-09-1976,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Tynaarlo,6.52183955,53.09834151,02-06-1985,Appraisal hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Tynaarlo,6.52228307,53.09797992,27-11-1995,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Borger-Odoorn,6.97676289,52.90616924,09-01-1977,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Zuid-Holland,Wassenaar,4.37117387,52.09806023,02-01-1956,Exploration hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.36548879,52.10095925,25-11-1956,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.36548879,52.10095925,04-10-1983,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.35769545,52.09966901,03-12-1956,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.37112968,52.09807782,28-12-1956,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.37112968,52.09807782,13-04-1983,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36383956,52.10414479,27-04-1957,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36377975,52.10420719,14-11-1957,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36377975,52.10420719,17-05-1983,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.3655486,52.10089685,08-01-1958,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.3655486,52.10089685,10-05-1984,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.36542919,52.10101267,08-02-1958,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.36542919,52.10101267,27-03-1985,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.35776965,52.09961573,14-03-1958,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.35776965,52.09961573,06-11-1982,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.36535499,52.10106595,05-05-1958,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.36535499,52.10106595,11-10-1982,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,s-Gravenhage,4.36562279,52.10084357,28-05-1958,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36372014,52.10426061,23-06-1958,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36366053,52.10431402,16-07-1958,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36360092,52.10436743,13-08-1958,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36360092,52.10436743,13-06-1983,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.37120407,52.09801555,15-11-1958,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.35771396,52.10710254,23-02-1959,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.35766976,52.10712013,23-03-1959,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.37129325,52.09794441,30-09-1959,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.37133784,52.09790884,25-10-1959,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36425834,52.11008074,22-05-1988,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36430274,52.11005416,30-12-1960,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36422874,52.11009846,24-01-1961,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36418433,52.11012504,04-03-1961,Development hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Leidschendam-Voorburg,4.37495992,52.09198972,23-03-1962,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Leidschendam-Voorburg,4.37500429,52.09196314,23-12-1963,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.35212417,52.12029342,13-05-1964,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.35216713,52.12032975,13-06-1964,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.3522101,52.12036608,19-05-1966,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.35226109,52.12039601,02-06-1966,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.3557906,52.11390788,06-06-1967,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.3557906,52.11390788,10-03-1985,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.36362825,52.10444856,03-08-1967,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.35206661,52.12025696,05-12-1975,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.35231083,52.12042988,20-12-1975,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.35235379,52.12046621,05-02-1976,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Zuid-Holland,Wassenaar,4.35244609,52.11870063,18-02-1976,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y
ON,Overijssel,Steenwijkerland,6.12564126,52.73452868,02-03-1951,Exploration hydrocarbon,Suspended,Gas with oil shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Meppel,6.16046034,52.73417294,08-10-1951,Exploration hydrocarbon,Plugged and abandoned,Gas with oil shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Overijssel,Steenwijkerland,6.09056227,52.73509155,15-11-1951,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Meppel,6.14675276,52.72228244,16-10-1952,Development hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Overijssel,Steenwijkerland,6.12574277,52.734446,07-04-1974,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,De Wolden,6.22843759,52.70949437,12-10-1980,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,De Wolden,6.22799446,52.70948842,09-11-1980,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Meppel,6.20911237,52.71178618,02-02-1989,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Meppel,6.24002431,52.6882509,12-04-1989,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Meppel,6.24046103,52.68830295,03-05-1989,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,De Wolden,6.22844412,52.70924597,05-10-1998,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Drenthe,Meppel,6.23993981,52.68851483,29-01-1999,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,,,4.30844565,52.21458155,04-06-1980,Exploration hydrocarbon,Suspended,Oil,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Slochteren,6.74009889,53.20784125,07-10-1966,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Holland,Beemster,4.89279924,52.58177452,03-07-2009,Appraisal hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Veendam,6.81720204,53.09151401,21-10-1967,Exploration hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Veendam,6.81714016,53.0908863,07-08-1973,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Groningen,Veendam,6.81818418,53.09084875,29-09-1973,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
